company,phone,postcode,street,suburb,website
4one4 Real Estate,(03) 6273-7414,7010,414 Main Road,Glenorchy,http://www.4one4realestate.com.au/
Australian Institute of Conveyancers (Tas),(03) 6224-1100,7000,Shop 1 179 Liverpool Street,Hobart,http://www.aicnational.com.au/contact/tasmania
Alan Moane Real Estate,0408124495,7050,47 Balmoral Road,Kingston Beach,http://www.alanmoanere.com.au
Baxton Property Management,(03) 6220-1900,7005,147 Sandy Bay Road,Sandy Bay,http://www.baxton.me/
Charlotte Peterswald for Property Sales,(03) 6224-7090,7004,24/93 Salamanca Place,Battery Point,http://www.charlottepeterswald.com.au/
Charlotte Peterswald Property Management,(03) 6224-0823,7005,14 Magnet Court,Sandy Bay,http://www.cppm.com.au/
Creese Property Consultants,(03) 6244-6111,7018,39 Cambridge Road,Bellerive,http://www.creeseproperty.com
Curo Property Services Pty Ltd,0417 526 101,7001,GPO Box 305,Hobart,
Crowther Richards Real Estate,(03) 6228-0988,7008,157 New Town Road,New Town,http://www.crowtherrichards.com.au
Derwent Real Estate,(03) 6261-4222,7140,73 High Street,New Norfolk,http://www.derwentrealestate.com.au/
Devine Property,(03) 6238-4800,7000,119 Harrington Street,Hobart,http://www.devineproperty.com.au
Downton Property,(03) 6105-0454,7000,180 Campbell Street,Hobart,http://www.downtonproperty.com.au/
Edwards Windsor Real Estate,(03) 6234-5500,7000,Level 2 89 Brisbane Street,Hobart,http://www.edwardswindsor.com.au
EIS Property Management,(03) 6232-4999,7000,229 Elizabeth Street,Hobart,http://www.eisproperty.com.au
Elders Brown & Banks,(03) 6231-0400,7000,141 Murray Street,Hobart,http://www.elders.com.au/brownbanks
Elders Kingborough,(03) 6267-2556,7054,"Shop 1, 1726 Channel Highway",Margate,http://kingborough.eldersrealestate.com.au
Exceed Property,0429 707 911,7025,8 Bathurst Street,Richmond,http://www.exceedproperty.com.au
Fall Real Estate,(03) 6234-7033,7000,370 Elizabeth Street,Hobart,http://www.fall.com.au
Fall Real Estate,(03) 6247-3022,7018,4 Howrah Road,Howrah,http://www.fall.com.au
Fall Real Estate,(03) 6243-1353,7015,37 Lincoln Street,Lindisfarne,http://www.fall.com.au
Fall Real Estate,(03) 6225-4000,7005,531 Sandy Bay Road,Sandy Bay,http://www.fall.com.au
Fall Real Estate,(03) 6229-2960,7050,2 Windsor Street,Kingston Beach,http://www.fall.com.au
Fall Real Estate,(03) 6248-7666,7021,456 South Arm Road,Lauderdale,http://www.fall.com.au
First National Elite Bellerive,(03) 6244-3030,7018,11 Percy Street,Bellerive,http://www.fnelite.com.au/
First National Elite Brighton,(03) 6268-0788,7030,2 Elderslie Road,Brighton,http://www.fnelite.com.au/
First National Kingston,0400 339 054,7050,2/16 Freeman Street,Kingston,http://www.fnkingston.com.au/
First National McGregor,(03) 6278-2666,7009,83 Main Road,Moonah,http://www.mcgregorfn.com/
Harcourts Hobart/Sandy Bay,(03) 6220-9100,7000,32-34 Sandy Bay Road,Hobart,http://www.harcourtstasmania.com.au
Harcourts Huon Valley,(03) 6264-0000,7109,18 Main Street,Huonville,http://www.harcourts.com.au/
Harcourts Kingborough,(03) 6229-0000,7050,7 Beach Road,Kingston Beach,http://www.harcourts.com.au/
Harcourts Northern Suburbs,(03) 6273-3500,7010,339 Main Road,Glenorchy,http://www.harcourtstasmania.com.au/Offices/191340/Harcourts-Northern-Suburbs
Harcourts Signature,(03) 6244-8111,7018,"Shop 2, 1 Bayfield Street",Rosny,http://www.harcourts.com.au
Homelands Property,(03) 6264-2266,7109,52A Main Street,Huonville,http://www.homelands.com.au/
J&S Huizing Realty Pty Ltd an agent for Tasmania Sothebyâ€™s International Realty,(03) 6234-2400,7000,15 Hunter Street,Hobart,http://www.sothebysrealtytasmania.com
Kate Storey Realty,(03) 6253-6095,7177,153 Arthur Highway,Dunnalley,http://www.katestoreyrealty.com.au/
Knight Frank Hobart,(03) 6220-6999,7000,5 Victoria Street,Hobart,http://www.knightfranktasmania.com.au/
Kunama Real Estate,0404 845 249,7000,"Level 5, 81 Elizabeth Street",Hobart,http://www.kunama.com.au/
Lennard McLure Real Estate,(03) 6169-2555,7000,"Level 6, 11 Macquarie Street",Hobart,http://www.lennardmclure.com.au/
Link Brokerage Hobart & Command Realty,(03) 6135-4446,7000,2 / 221 Liverpool Street,Hobart,http://www.commandrealty.com.au/
Little City Group,0438 320 895,7005,18 Fitzroy Place,Sandy Bay,http://www.littlecitygroup.com.au/
L J Hooker Glenorchy,(03) 6272-8177,7010,402 Main Road,Glenorchy,http://www.ljhooker.com.au/glenorchy
L J Hooker Kingston,(03) 6229-4200,7050,16 Freeman Street,Kingston,http://www.ljhooker.com.au/kingston
L J Hooker Margate,(03) 6267-2391,7054,1727 Channel Highway,Margate,http://www.ljhooker.com.au/margate
Moane's Real Estate,(03) 6273-7437,7011,"Shop 24, 35 Main Road",Claremont,http://www.moanesnorthside.com.au/
My Property Hunter,(03) 6234-5777,7001,281 Elizabeth Street,Hobart,http://www.mypropertyhunter.com.au/
NAI Harcourts - Hobart,(03) 6234-6665,7000,"Level 2, 147 Macquarie Street",Hobart,http://www.naiharcourts.com.au/Offices/191368/NAI-Harcourts-Hobart
Nest Property - Hobart,(03) 6224-2004,7005,49 Sandy Bay Road,Sandy Bay,http://www.nestproperty.com.au
Nest Property - Huon Valley,(03) 6264-1223,7109,Shop 1 / 11 Main Street,Huonville,http://www.nestproperty.com.au
One Agency Hobart,0417 556 731,7000,3B / 30 Patrick Street,Hobart,http://www.oneagency.com.au
One Agency Sorell,(03) 6265-3315,7172,19 Gordon Street,Sorell,http://www.oneagency.com.au
Petrusma Property Glenorchy,(03) 6272-6177,7010,501 Main Road,Montrose,http://www.petrusma.com.au
Petrusma Property Hobart/Sandy Bay,(03) 6224-7889,7005,213 Sandy Bay Road,Sandy Bay,http://www.petrusma.com.au
Petrusma Property Howrah/Bellerive,(03) 6247-7877,7018,15 Shoreline Drive,Howrah,http://www.petrusma.com.au
Petrusma Property Kingston,(03) 6229-5500,7050,58 Channel Highway,Kingston,http://www.petrusma.com.au
Petrusma Property Lindisfarne,(03) 6243-5477,7015,26 Wellington Road,Lindisfarne,http://www.petrusma.com.au
Petrusma Property Management,(03)6247-0090,7018,15 Shoreline Drive,Howrah,http://www.petrusma.com.au
PMM Real Estate,(03) 6244-5588,7018,1A Bligh Street,Rosny Park,http://www.pmmrealestate.com.au
PRD Nationwide Realty,(03) 6273-5555,7010,493 Main Road,Glenorchy,http://www.prdhobart.com.au
Professionals Sorell,(03) 6265-1896,7172,1/6 Gordon Street,Sorell,http://www.professionalssorell.com/
Raine & Horne Eastern Shore,(03) 6244-8338,7018,5 Bayfield Street,Rosny Park,http://www.raineandhorne.com.au/easternshore
Raine & Horne Hobart,(03) 6231-0000,7000,136 Davey Street,Hobart,http://www.raineandhorne.com.au/hobart
Raine & Horne Hobart (Commercial),(03) 6231-0000,7000,136 Davey Street,Hobart,http://www.rhcommercial.com.au/hobart
Raine & Horne Kingborough Rentals,(03) 6229-6633,7050,Shop 4 / 16 Freeman Street,Kingston,http://www.raineandhorne.com.au/kingboroughrentals
Raine & Horne Kingston,(03) 6229-1034,7050,98 Beach Road,Kingston,http://www.raineandhorne.com.au/kingston
Raine & Horne Sorell,(03) 6265-1000,7172,10 Gordon Street,Sorell,http://www.raineandhorne.com.au/sorell
Ray White Southern Tasmania,(03) 6231-1350,7000,Suite 1 / 199 Macquarie Street,Hobart,http://raywhitecentralhobart.com.au
Ripple Realty,(03) 6231-3483,7000,Suite 1 / 121 Collins Street,Hobart,http://www.ripplere.com.au/
Roberts Eastern Shore,(03) 6244-5444,7018,17 Rosny Mall,Rosny Park,http://www.robertsre.com.au/easternshore
Roberts Glenorchy,(03) 6272-8555,7010,338 Main Road,Glenorchy,http://www.robertsre.com.au/glenorchy/
Roberts Hobart,(03) 6231-0311,7000,2 Collins Street,Hobart,http://www.robertsre.com.au/hobart/
Roberts Kingston,(03) 6264-1955,7104,121B Main Road,Huonville,http://www.robertsre.com.au/huonville/
Roberts New Norfolk,(03) 6261-1755,7140,51 High Street,New Norfolk,http://www.robertsre.com.au/newnorfolk/
Roberts Orford Triabunna,(03) 6257-1199,7190,13 Charles Street,Orford,http://www.robertsre.com.au/orford
Roberts Sorell,(03) 6265-1077,7172,13 Gordon Street,Sorell,http://www.robertsre.com.au/sorell
Roberts Swansea,(03) 6257-8421,7190,1/8 Franklin Street,Swansea,http://www.robertsre.com.au/swansea
Salamanca Realty,(03) 6222-6363,7004,2/1 Castray Esplande,Battery Point,http://www.salamancare.com.au
St Andrews Estate,0414 639 000,7000,40 Bathurst Street,Hobart,http://www.standrewsestate.com.au
TPR Property Group,(03) 6264-2888,7109,14A Main Road,Huonville,http://www.taspr.com.au/
Tasmanian Valuation Services,0449 284 590,7000,9 Warwick Street,Hobart,http://www.tasvals.com.au/
View Hobart,(03) 6224-0251,7000,33 Melville Street,Hobart,http://www.viewtube.com.au
Whites Real Estate Professionals,(03) 6228-0325,7009,21 Main Road,Moonah,http://www.whites.com.au
Agribusiness Services (TAS) Pty Ltd,0407 697 797,7301,201 Norwich Drive,Longford,http://www.agribusinessservicestas.com.au
Aqua Property Services North,(03) 6382-1399,7253,1 Bathurst Street,George Town,http://www.aquaproperty.com.au
Aqua Property Services North-East,(03) 6352-3129,7262,103 Main Street,Bridport,http://www.aquaproperty.com.au
Bushby Property Group,(03) 6333-3600,7250,117 Cimitiere Street,Launceston,http://www.bushby.com.au
Community Housing Limited,(03) 6323-7200,7250,214 York Street,Launceston,http://www.chl.org.au
eProperty & Co,0418 727 056,7301,15-17 Longford Close,Longford,http://www.epropertyco.com.au/
Elders Towns Shearing,(03) 6334-3484,7250,58 Elizabeth Street,Launceston,http://townsshearing.eldersrealestate.com.au/
First National Real Estate Claridge,(03) 6362-3570,7304,76-78 Emu Bay Road,Deloraine,http://www.delorainerealestate.com.au
Flanagan Residential,0408 139 862,7250,108A Tamar Street,Launceston,http://www.flanaganresidential.com.au
Harcourts East Tamar,(03) 6382-2366,7253,98 Macquarie Street,George Town,http://www.harcourtstasmania.com.au
Harcourts Launceston,(03) 6337-9700,7250,112-114 George Street,Launceston,http://www.launceston.harcourts.com.au
Harcourts Meander Valley,(03) 6362-4405,7304,Shop 3 53-55 Emu Bay Road,Deloraine,http://www.harcourtstasmania.com.au
Harcourts Midlands,(03) 6381-1300,7210,111 High Street,Campbell Town,http://www.harcourtstasmania.com.au
Harcourts North East,(03) 6352-4155,7260,22 King Street,Scottsdale,http://www.harcourtstasmania.com.au
Harcourts Northern Midlands,(03) 6391-2911,7301,Shop 2/30 Marlborough Street,Longford,http://www.harcourtstasmania.com.au
Harcourts St Helens,(03) 6376-2249,7216,20 Cecilia Street,St Helens,http://www.harcourtstasmania.com.au
Harcourts West Tamar,(03) 6330-2588,7277,Shop 1/12 Legana Grove,Legana,http://www.westtamar.harcourts.com.au
Harrison Humphreys,(03) 6332-6400,7250,48 Brisbane Street,Launceston,http://www.harrisonhumphreys.com.au
Kerri's Coastal Realty,0488 572 211,7216,40 Quail Street,St Helens,http://www.kerriscoastalrealty.com.au/
Key2 Property,(03) 6343-1329,7249,101 Galvin Street,South Launceston,http://www.key2.com.au/
Knight Frank Launceston,(03) 6333-7888,7250,41 York Street,Launceston,http://www.knightfranktasmania.com.au/
Landmark Harcourts Launceston,(03) 6331-6118,7250,112-114 George Street,Launceston,http://www.tasmanianruralproperty.com.au
Launceston Property Rentals,0428 396 602,7250,187 Brisbane Street,Launceston,http://www.launcestonpropertyrentals.com
Lee Jamieson's Real Estate,(03) 6393-1037,7303,44 William Street,Westbury,http://www.jamiesonsre.com.au
Living Here Launceston,(03) 6332-3500,7250,25 Invermay Road,Launceston,http://www.livingherelaunceston.com.au
L J Hooker Bicheno,(03) 6375-1400,7215,73B Burgess Street,Bicheno,http://www.ljhooker.com.au/bicheno
L J Hooker St Helens,(03) 6376-2300,7216,36 Cecelia Street,St Helens,http://www.ljhooker.com.au/sthelens
NAI Harcourts Launceston,(03) 6331-0440,7250,112-114 George Street,Launceston,http://www.naiharcourts.com.au/Offices/1091/Harcourts-Launceston
One Agency Launceston,(03) 6327-3386,7250,4 / 17-19 Abbott Street,East Launceston,http://www.oneagency.com.au
Peter Bushby Real Estate,(03) 6334-2212,7250,10 Cameron Street,Launceston,http://www.peterbushby.com.au
Peter Lees Real Estate,(03) 6331-5544,7250,152 Brisbane Street,Launceston,http://www.peterlees.com.au
Quamby View Real Estate,(03) 6362-2255,7304,47 Emu Bay Road,Deloraine,http://www.quambyview.com.au
Quixell,(03) 6326-3322,7250,104B Invermay Road,Invermay,http://www.quixell.com.au
Ray White Launceston Central,(03) 6334-3555,7250,189 Charles Street,Launceston,http://www.raywhite.com/office-details/cntrllaunceston.tas/
Roberts Bicheno,(03) 6375-1495,7215,41 Foster Street,Bicheno,http://www.robertsre.com.au/bicheno
Roberts Deloraine,(03) 6362-3855,7303,40 Meander Valley Road,Westbury,http://www.robertsre.com.au/deloraine
Roberts Launceston (Rentals),(03) 6337-8000,7250,16 Charles Street,Launceston,http://www.robertsre.com.au/launceston
Roberts Launceston (Sales),(03) 6337-8001,7250,16 Charles Street,Launceston,http://www.robertsre.com.au/launceston
Roberts Longford,(03) 6391-2999,7301,18 Marlborough Street,Longford,http://www.robertsre.com.au/longford
Roberts Scottsdale,(03) 6352-4055,7260,4 Victoria Street,Scottsdale,http://www.robertsre.com.au/scottsdale
Roberts St Helens,(03) 6376-1799,7216,41 Cecelia Street,St Helens,http://www.robertsre.com.au/sthelens
Roberts Tamar Valley,(03) 6394-3366,7275,49 Main Road,Exeter,http://www.robertsre.com.au
Roberts Whitemark,(03) 6359-2059,7255,6 Lagoon Road,Flinders Island,http://www.robertsre.com.au/flindersisland/
Saunders Property Group,1800 158 159,7250,54 High Street,East Launceston,http://www.saundersproperty.com.au
Shepherd & Heap Pty Ltd,(03) 6331-2266,7250,49 Cameron Street,Launceston,http://www.shepherdheap.com.au
Sims for Property,(03) 6334-4299,7250,41 Arthur Street,East Launceston,http://www.simsforproperty.com.au
Surf Coast Realty,(03) 6372-5321,7215,Suite 1 158 Scamander Avenue,Scamander,http://www.surfcoastrealty.com.au/
Tasmanian Property Managers,(03) 6334-3777,7250,Ground Floor 25 York Street,Launceston,http://www.taspm.com.au
The Accommodation Group,0438 604 469,7250,160 Cambridge Street,Launceston,http://www.theaccommodationgroup.com.au
The Cleaner Style,0417 798 161,7250,5 Compton Avenue,Launceston,http://www.thecleanerstyle.com
Tucker and Howell,0419 122 683,7250,"Level 1, 47a Brisbane Street",Launceston,http://www.tuckerandhowell.com.au
View Launceston,(03) 6331-3399,7250,156 Elphin Road,Newstead,http://www.viewtube.com.au
View St. Helens,(03) 6376-1592,7216,7 Pendrigh Place,St. Helens,http://www.viewtube.com.au
Woolcock Partners,(03) 6331-3033,7250,38-40 Brisbane Street,Launceston,http://www.woolcockpartners.com.au
Beachwood Real Estate,(03) 6428-7399,7307,Shop 1 2-4 Club Drive,Shearwater,http://www.beachwoodrealestate.com.au
Betty Kay Realty,(03) 6452-3755,7330,65 Emmett Street,Smithton,http://www.bettykayrealty.com.au
Century 21,(03) 6424-5217,7310,139 William Street,Devonport,http://www.century21.com.au/devonport
Elders Burnie,(03) 6432-2311,7320,114 Wilson St,Burnie,http://www.eldersburnie.com.au
Elders Real Estate Smithton,(03) 6452-3488,7330,Cnr Emmett & Gibson Street,Smithton,http://www.elders.com.au/smithton
Elders Ulverstone,(03) 6425-2722,7315,46 Reibey Street,Ulverstone,http://www.elders.com.au/ulverstone
Emu Bay Real Estate,(03) 6432-4055,7320,5 Alexander Street,Burnie,http://www.emubay.com
First National Burnie,(03) 6432-7800,7320,2 / 203 Mount Street,Upper Burnie,http://www.burniefirstnational.com.au
Halliwell Property Agents,(03) 6424-1496,7310,17 Best Street,Devonport,http://www.halliwell.net.au
Hampton Peters Real Estate,(03) 6431-3373,7320,20 Alexander Street,Burnie,http://www.hamptonpeters.com.au
Harcourts Burnie,(03) 6431-4200,7320,72-74 Wilson Street,Burnie,http://www.harcourtstasmania.com.au
Harcourts Devonport & Shearwater,(03) 6423-2500,7310,21 Fenton Way,Devonport,http://www.harcourts.com.au/Offices/1093/Harcourts-Devonport
Harcourts King Island,(03) 6462-1474,7256,32 Edward Street,King Island,http://www.harcourts.com.au/Offices/1103/Harcourts-King-Island
Harcourts Ulverstone,(03) 6425-7999,7315,2/26 King Edward Street,Ulverstone,http://www.harcourts.com.au/Offices/191362/Harcourts-Coast-Country
Harcourts West Coast,(03) 6473-4100,7321,Shop 4 Tullah Village Shopping Centre,Tullah,http://westcoast.harcourts.com.au
L J Hooker Burnie,(03) 6432-3000,7320,38-40 Wilmot Street,Burnie,http://www.ljhooker.com.au/burnie
L J Hooker Wynyard,(03) 6442-3477,7325,98 Goldie Street,Wynyard,http://www.ljhooker.com.au/wynyard
Michael Burr & Associates,(03) 6424-9444,7310,47 Oldaker Street,Devonport,http://www.michaelburrrealestate.com.au
My Coast Realty,(03) 6428-8809,7307,68 Best Street,Shearwater,http://www.mycoastrealty.com.au
NJH Realty,1800 255 496,7307,70 Browns Road,Port Sorell,http://www.njhrealty.com.au
North West Property Agents,(03) 6431-2466,7320,33b Bass Highway,Burnie,http://www.nwpa.com.au
One Agency Burnie,(03) 6431-1595,7320,140 Wilson Street,Burnie,http://oneagency.com.au/office?office_id=126
One Agency Collins Realty,(03) 6424-6614,7310,59 Best Street,Devonport,http://www.collinsrealty.com.au
Rawlings Real Estate,0418 376 898,7320,16 Blackwood Parade,Burnie,http://www.rawlingsrealestate.com.au
Roberts Burnie,(03) 6431-2411,7320,71 Mount Street,Burnie,http://www.robertsre.com.au/burnie
Roberts Devonport,(03) 6424-0900,7310,27 Rooke Street,Devonport,http://www.robertsre.com.au/devonport
Roberts Queenstown,(03) 6471-1295,7467,20 Orr Street,Queenstown,http://www.robertsre.com.au/queenstown
Roberts Shearwater,(03) 6428-6700,7307,2 Quinlan Crescent,Shearwater,http://www.robertsre.com.au/shearwater
Roberts Sheffield,(03) 6491-1499,7306,48 Main Street,Sheffield,http://www.robertsre.com.au/sheffield
Roberts Smithton,(03) 6452-3099,7330,28 Havelock Street,Smithton,http://www.robertsre.com.au/smithton
Roberts Ulverstone,(03) 6425-7188,7315,51 Reibey Street,Ulverstone,http://www.robertsre.com.au/ulverstone
Roberts Wynyard,(03) 6442-3444,7325,33 Goldie Street,Wynyard,http://www.robertsre.com.au/wynyard
Sonya Baker - Rent Me Property,(03) 6442-3894,7325,28 Sandy Crescent,Wynyard,http://www.rentmeproperty.com.au
Spinks Property Services,(03) 6452-1111,7330,54 Emmett Street,Smithton,http://www.spinks.com.au/
Sushames Real Estate,(03) 6423-3000,7310,153b Williams Street,Devonport,http://www.sushames.com
Tasmania Property Sales,0417 507 124,7310,3 / 187 Steele Street,Devonport,http://www.tasmaniapropertysales.com.au
View Central Coast,(03) 6425-7770,7315,Shop 2 66B Alexander Street,Ulverstone,http://www.viewtube.com.au
View Devonport,(03) 6424-4007,7310,2 / 37 Steele Street,Devonport,http://www.viewtube.com.au
Zoom Property,(03) 6425-2255,7315,Shop 7 / 12 Reibey Street,Ulverstone,http://www.zoompropertyagents.com.au
